STS,DEST,Month,Flight No,Phân thị,Sector,A/C,Dow,Vị trí phân bổ,AC type,CW/ vị trí,Total CW,Net Rate ($),All in,Revenue,,,,,,,,,,,,,
AIS,BRU,JAN,VN037,Châu Âu,HANFRA,787,D4,3,1,"1,200.00","18,000.00",3,3,"54,000.00",,,,,,,,,,,,,
AIS,BRU,JAN,VN031,Châu Âu,SGNFRA,787,D7,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,FEB,VN037,Châu Âu,HANFRA,787,D4,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,FEB,VN031,Châu Âu,SGNFRA,787,D7,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,MAR,VN037,Châu Âu,HANFRA,787,D1,3,1,"1,200.00","18,000.00",3,3,"54,000.00",,,,,,,,,,,,,
AIS,BRU,MAR,VN037,Châu Âu,HANFRA,787,D4,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,MAR,VN031,Châu Âu,SGNFRA,787,D7,3,1,"1,200.00","18,000.00",3,3,"54,000.00",,,,,,,,,,,,,
AIS,BRU,APR,VN037,Châu Âu,HANFRA,787,D4,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,APR,VN031,Châu Âu,SGNFRA,787,D7,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,MAY,VN037,Châu Âu,HANFRA,787,D4,3,1,"1,200.00","18,000.00",3,3,"54,000.00",,,,,,,,,,,,,
AIS,BRU,MAY,VN031,Châu Âu,SGNFRA,787,D7,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,JUN,VN037,Châu Âu,HANFRA,787,D4,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,JUN,VN031,Châu Âu,SGNFRA,787,D7,3,1,"1,200.00","18,000.00",3,3,"54,000.00",,,,,,,,,,,,,
AIS,BRU,JUL,VN037,Châu Âu,HANFRA,787,D4,3,1,"1,200.00","18,000.00",3,3,"54,000.00",,,,,,,,,,,,,
AIS,BRU,JUL,VN031,Châu Âu,SGNFRA,787,D7,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,AUG,VN037,Châu Âu,HANFRA,787,D4,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,AUG,VN031,Châu Âu,SGNFRA,787,D7,3,1,"1,200.00","18,000.00",3,3,"54,000.00",,,,,,,,,,,,,
AIS,BRU,SEP,VN037,Châu Âu,HANFRA,787,D4,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,SEP,VN031,Châu Âu,SGNFRA,787,D7,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,OCT,VN037,Châu Âu,HANFRA,787,D1,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,OCT,VN037,Châu Âu,HANFRA,787,D4,3,1,"1,200.00","18,000.00",3,3,"54,000.00",,,,,,,,,,,,,
AIS,BRU,OCT,VN031,Châu Âu,SGNFRA,787,D7,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,NOV,VN037,Châu Âu,HANFRA,787,D1,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,NOV,VN037,Châu Âu,HANFRA,787,D4,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,NOV,VN031,Châu Âu,SGNFRA,787,D7,3,1,"1,200.00","18,000.00",3,3,"54,000.00",,,,,,,,,,,,,
AIS,BRU,DEC,VN037,Châu Âu,HANFRA,787,D4,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
AIS,BRU,DEC,VN031,Châu Âu,SGNFRA,787,D7,3,1,"1,200.00","14,400.00",3,3,"43,200.00",,,,,,,,,,,,,
BOM,MEL,JUL,VN779,Úc,HANMEL,350,D2,1,1,700.00,"3,500.00",,1.45,"5,075.00",,,,,,,,,,,,,
BOM,MEL,JUL,VN779,Úc,HANMEL,350,D4,1,1,700.00,"3,500.00",,1.45,"5,075.00",,,,,,,,,,,,,
