Danh mục gộp Station,,,
Nhóm,Sector,Station,Ghi chú
AUS,HANPVG,MEL,
AUS,HANPVG,SYD,
CDG,HANMEL,LIL,
CDG,HANMEL,LYS,
CDG,HANMEL,MRS,
CDG,HANMEL,NTE,
CDG,HANMEL,TLS,
CDG,HANSYD,LIL,
CDG,HANSYD,LYS,
CDG,HANSYD,MRS,
CDG,HANSYD,NTE,
CDG,HANSYD,TLS,
CDG,SGNMEL,BOD,
CDG,SGNMEL,LIL,
CDG,SGNMEL,LYS,
CDG,SGNMEL,MRS,
CDG,SGNMEL,NTE,
CDG,SGNMEL,SXB,
CDG,SGNMEL,TLS,
CDG,SGNPER,BOD,
CDG,SGNPER,LIL,
CDG,SGNPER,LYS,
CDG,SGNPER,MRS,
CDG,SGNPER,NTE,
CDG,SGNPER,TLS,
CDG,SGNSYD,BOD,
CDG,SGNSYD,LIL,
CDG,SGNSYD,LYS,
CDG,SGNSYD,MRS,
CDG,SGNSYD,NTE,
CDG,SGNSYD,TLS,
CIS,HANMEL,AMS,
CIS,HANMEL,ARN,
CIS,HANMEL,BLL,
CIS,HANMEL,BLQ,
CIS,HANMEL,BSL,
CIS,HANMEL,CPH,
CIS,HANMEL,FLR,
CIS,HANMEL,GOT,
CIS,HANMEL,GRZ,
CIS,HANMEL,GVA,
CIS,HANMEL,HEL,
CIS,HANMEL,HOH,
CIS,HANMEL,LIN,
CIS,HANMEL,LNZ,
CIS,HANMEL,MIL,
CIS,HANMEL,MMA,
CIS,HANMEL,MMX,
CIS,HANMEL,MXP,
CIS,HANMEL,OSL,
CIS,HANMEL,RIX,
CIS,HANMEL,STO,
CIS,HANMEL,SWK,
CIS,HANMEL,SZG,
CIS,HANMEL,TLL,
CIS,HANMEL,TMP,
CIS,HANMEL,VIE,
CIS,HANMEL,VNO,
CIS,HANMEL,ZRH,
CIS,HANSYD,AMS,
CIS,HANSYD,ARN,
CIS,HANSYD,BLL,
CIS,HANSYD,BLQ,
CIS,HANSYD,BSL,
CIS,HANSYD,CPH,
CIS,HANSYD,FLR,
CIS,HANSYD,GOT,
CIS,HANSYD,GRZ,
CIS,HANSYD,GVA,
CIS,HANSYD,HEL,
CIS,HANSYD,HOH,
CIS,HANSYD,LIN,
CIS,HANSYD,LNZ,
CIS,HANSYD,MIL,
CIS,HANSYD,MMA,
CIS,HANSYD,MMX,
CIS,HANSYD,MXP,
CIS,HANSYD,OSL,
CIS,HANSYD,RIX,
CIS,HANSYD,STO,
CIS,HANSYD,SWK,
CIS,HANSYD,SZG,
CIS,HANSYD,TLL,
CIS,HANSYD,TMP,
CIS,HANSYD,VIE,
CIS,HANSYD,VNO,
CIS,HANSYD,ZRH,
CIS,SGNMEL,AMS,
CIS,SGNMEL,ARN,
CIS,SGNMEL,BLL,
CIS,SGNMEL,BLQ,
CIS,SGNMEL,BSL,
CIS,SGNMEL,CPH,
CIS,SGNMEL,FLR,
CIS,SGNMEL,GOT,
CIS,SGNMEL,GRZ,
CIS,SGNMEL,GVA,
CIS,SGNMEL,HEL,
CIS,SGNMEL,HOH,
CIS,SGNMEL,LIN,
CIS,SGNMEL,LNZ,
CIS,SGNMEL,MIL,
CIS,SGNMEL,MMA,
CIS,SGNMEL,MMX,
CIS,SGNMEL,MXP,
CIS,SGNMEL,OSL,
CIS,SGNMEL,RIX,
CIS,SGNMEL,STO,
CIS,SGNMEL,SWK,
CIS,SGNMEL,SZG,
CIS,SGNMEL,TLL,
CIS,SGNMEL,TMP,
CIS,SGNMEL,VIE,
CIS,SGNMEL,VNO,
CIS,SGNMEL,ZRH,
CIS,SGNPER,AMS,
CIS,SGNPER,ARN,
CIS,SGNPER,BLL,
CIS,SGNPER,BLQ,
CIS,SGNPER,BSL,
CIS,SGNPER,CPH,
CIS,SGNPER,FLR,
CIS,SGNPER,GOT,
CIS,SGNPER,GRZ,
CIS,SGNPER,GVA,
CIS,SGNPER,HEL,
CIS,SGNPER,HOH,
CIS,SGNPER,LIN,
CIS,SGNPER,LNZ,
CIS,SGNPER,MIL,
CIS,SGNPER,MMA,
CIS,SGNPER,MMX,
CIS,SGNPER,MXP,
CIS,SGNPER,OSL,
CIS,SGNPER,RIX,
CIS,SGNPER,STO,
CIS,SGNPER,SWK,
CIS,SGNPER,SZG,
CIS,SGNPER,TLL,
